symbol,date,expiry,option_type,strike,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,no_of_contracts,turnover_in_lacs_option,premium_turnover_in_lacs,open_interest,change_in_oi,open_ul,high_ul,low_ul,close_ul,shares_traded_ul,turnover_in_cr_ul,log_returns_ul,vol_close_to_close,vol_parkinson,k_minus_s_open,k_minus_s_close,days_to_expiry,implied_volatility,moneyness_close,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2011-01-17,2011-02-24,PE,5600,151.1,157.4,123.5,137.95,133.0,137.95,40917,117459.96,-,2184650,448200,5648.8,5696.15,5624.15,5654.75,148497108.0,6417.27,3.5369120992478426e-05,0.1815703951356123,0.1642130372374504,-48.80000000000018,-54.75,38,0.2446460369774661,0.0097,0.2286662372690601,0.1497287039714846,-0.4095641691431262,0.0008706806,-2.2826,7.0911,-255.47796113514235,-0.002378607,-0.0001,0.9924
NIFTY,2011-01-18,2011-02-24,PE,5700,160.0,164.05,119.45,123.35,122.95,123.35,31816,92920.7,-,1708950,220600,5682.55,5730.5,5671.25,5724.05,141008889.0,6160.38,0.0121806968803443,0.1864746980875013,0.1655997300086985,17.449999999999818,-24.050000000000185,37,0.2049385725644988,0.0042,0.1748311959907238,0.1095815534594686,-0.4306061374923457,0.0010519406,-1.983,7.1603,-262.3615420796359,-0.0021008087,0.0002,0.6694
NIFTY,2011-01-19,2011-02-24,PE,5600,87.1,113.55,80.75,101.3,97.3,101.3,30424,86668.53,-,2748050,301950,5737.35,5747.65,5662.55,5691.05,146719934.0,6694.79,-0.0057818314217622,0.1876000719629198,0.1654237736087208,-137.35000000000036,-91.05000000000018,36,0.2173944056868116,0.0161,0.3425965583603702,0.2743228988161146,-0.3659509957910349,0.0009682274,-2.0302,6.7239,-215.4028365209348,-0.0047471906,-0.0007,2.9068
NIFTY,2011-01-20,2011-02-24,PE,5600,112.0,121.4,79.2,89.1,86.5,89.1,42759,121904.71,-,3222850,474800,5656.0,5729.45,5634.5,5711.6,130496983.0,6947.7,0.0036044291894675,0.1870950043715762,0.167829010664511,-56.0,-111.60000000000036,35,0.212547727598104,0.0197,0.40556009197711,0.3397421867281015,-0.3425329283691458,0.0009774444,-1.9733,6.4989,-196.1449034390143,-0.005873364,-0.001,4.213
NIFTY,2011-01-20,2011-02-24,PE,5700,153.9,164.9,110.55,123.25,121.5,123.25,33573,98019.36,-,1977000,7050,5656.0,5729.45,5634.5,5711.6,130496983.0,6947.7,0.0036044291894675,0.1870950043715762,0.167829010664511,44.0,-11.600000000000364,35,0.2017347849821845,0.002,0.1405286670947482,0.078059116780417,-0.4441211520764089,0.0011071223,-2.0135,6.9866,-255.0581753505908,-0.0015284971,0.0004,0.3799
NIFTY,2011-02-21,2011-03-31,PE,5500,169.2,204.1,134.6,139.05,138.1,139.05,25865,73327.93,-,2174650,54500,5456.6,5526.25,5413.1,5518.6,137634026.0,6109.38,0.0108677413617874,0.2161681382137392,0.2016702977671089,43.39999999999964,-18.600000000000364,38,0.2284226402403482,0.0034,0.1532863935584681,0.0795835043040086,-0.4390862151175531,0.0009693807,-2.1101,7.0207,-266.74867382241433,-0.0013736995,0.0003,0.3749
NIFTY,2011-02-22,2011-03-31,PE,5400,112.8,155.0,110.7,132.4,128.0,132.4,77320,213860.09,-,4398600,302000,5504.4,5519.45,5437.3,5469.2,166271411.0,7383.12,-0.0089918514800087,0.2157342749423659,0.2053511042599471,-104.39999999999964,-69.19999999999982,37,0.2563638972892412,0.0127,0.2589109933830402,0.1772882298070042,-0.3978519579233411,0.0008642085,-2.3273,6.7179,-233.99529085948063,-0.0026679437,-0.0003,1.2028
NIFTY,2011-02-23,2011-03-31,PE,5400,138.0,154.65,118.0,150.15,147.0,150.15,69609,192778.19,-,4632150,233550,5452.45,5495.2,5427.55,5437.35,173584660.0,7203.8,-0.0058405436253899,0.2102493472402808,0.2028786109917352,-52.44999999999982,-37.35000000000037,36,0.2663194279287647,0.0069,0.1831935650764234,0.09955478929935,-0.4273230716276502,0.0008626362,-2.4779,6.6991,-243.9769367188128,-0.0014664996,0.0001,0.4588
NIFTY,2011-02-24,2011-03-31,PE,5200,94.0,154.0,86.0,145.4,142.0,145.4,105174,279893.61,-,4166000,389850,5408.75,5423.4,5242.5,5262.7,259347677.0,11011.16,-0.0326476067904682,0.2330867880123932,0.198468198792996,-208.75,-62.69999999999982,35,0.2884605990838715,0.012,0.2325165900774814,0.1431913707814467,-0.4080684016259097,0.0008260142,-2.6077,6.328,-219.8711088984007,-0.0019275274,-0.0002,0.7304
NIFTY,2011-03-21,2011-04-28,PE,5300,116.0,142.0,111.3,127.55,123.0,127.55,14091,38222.72,-,1538500,233200,5408.75,5413.3,5348.2,5364.75,107174731.0,4222.09,-0.0016669076211852,0.2215737049436441,0.1844516731550428,-108.75,-64.75,38,0.2479552190408773,0.0121,0.2568437851064237,0.1768385105425455,-0.3986496839743213,0.0008993258,-2.1799,6.6816,-235.93376878755865,-0.0027528892,-0.0002,1.2239
NIFTY,2011-03-22,2011-04-28,PE,5400,151.7,157.0,115.45,121.55,118.5,121.55,35452,98018.96,-,1652950,101650,5390.85,5428.15,5376.15,5413.85,94938100.0,3978.8,0.0091107081862833,0.2216358439836652,0.1808933821251054,9.149999999999636,-13.850000000000364,37,0.2061157531453189,0.0026,0.1490802503032693,0.0834558095525669,-0.4407451548526417,0.0011104836,-1.8942,6.8006,-254.2029947975962,-0.0015974577,0.0004,0.4105
NIFTY,2011-03-23,2011-04-28,PE,5400,111.35,127.55,85.35,87.95,85.65,87.95,43657,120014.71,-,2014550,361600,5411.4,5484.95,5401.95,5480.25,112036402.0,4852.75,0.0121902354965506,0.2249175803513456,0.1791983495481169,-11.399999999999636,-80.25,36,0.1981055509292862,0.0148,0.3474783725894612,0.2852624618568797,-0.364115981839028,0.001101513,-1.7785,6.4639,-205.4856947891907,-0.0054080341,-0.0007,3.2342
NIFTY,2011-03-24,2011-04-28,PE,5500,114.1,114.6,94.0,98.55,95.3,98.55,27368,76687.82,-,1609100,236550,5501.8,5529.0,5496.1,5522.4,115262055.0,4766.56,0.0076618280498288,0.1941551864207636,0.1802138617460622,-1.800000000000182,-22.39999999999964,35,0.1786880510364666,0.0041,0.187769793394104,0.1324369354748408,-0.4255285579653575,0.001282753,-1.7111,6.703,-234.7866079955077,-0.0029051436,0.0002,0.9328
NIFTY,2011-04-18,2011-05-26,PE,5700,100.0,140.95,74.4,136.8,132.7,136.8,24835,72200.83,-,1772400,160400,5824.35,5897.9,5722.25,5729.1,121111083.0,7626.14,-0.0165232929213555,0.1757856755141553,0.1428785138839264,-124.35000000000036,-29.100000000000364,38,0.2242377666156065,0.0051,0.1785036695297868,0.1061510723347471,-0.4291637198048771,0.0009472191,-2.1415,7.2581,-270.2187219252559,-0.0018586885,0.0002,0.6133
NIFTY,2011-04-19,2011-05-26,PE,5700,142.0,147.9,114.0,119.75,120.4,119.75,18149,52902.12,-,1850300,77900,5716.0,5762.95,5693.25,5740.75,101237488.0,5510.81,0.0020314134895016,0.1758347487862945,0.1499983477042248,-16.0,-40.75,37,0.209776210228216,0.0071,0.215940290932767,0.1491504106400044,-0.414517145151372,0.0010164948,-2.0194,7.1237,-253.362751762706,-0.002771103,0.0,1.0937
NIFTY,2011-04-20,2011-05-26,PE,5800,140.0,151.35,103.95,105.8,105.0,105.8,35858,106171.33,-,1666450,451700,5786.05,5857.35,5759.65,5851.65,117896054.0,6097.39,0.0191338089399887,0.1858534602427756,0.150024262874648,13.949999999999818,-51.64999999999964,36,0.1954819122729368,0.0089,0.2554365624781846,0.1940446168877826,-0.3991929671950032,0.0010748601,-1.9266,7.0962,-240.8289099729849,-0.0038329813,-0.0002,1.7993
NIFTY,2011-04-21,2011-05-26,PE,5800,93.0,98.15,79.6,89.5,90.05,89.5,30346,89368.09,-,1852550,186100,5882.85,5912.9,5864.35,5884.7,119753918.0,7240.13,0.0056320895957113,0.1817840110093521,0.1529238516368139,-82.85000000000036,-84.69999999999982,35,0.1924148619005339,0.0145,0.3535786636952677,0.293995137246014,-0.3618273333175925,0.0010688389,-1.8772,6.8293,-212.7564018044944,-0.005726171,-0.0007,3.6895
NIFTY,2011-05-23,2011-06-30,PE,5300,71.9,107.45,70.8,99.5,99.8,99.5,58816,158583.84,-,3093200,543350,5456.7,5456.7,5373.0,5386.55,94674110.0,5037.85,-0.0183580834663871,0.1711801972527268,0.1534371786325572,-156.69999999999982,-86.55000000000018,38,0.2182193972667949,0.0162,0.3391898612619811,0.2687791521790005,-0.3672333532877727,0.0009930655,-1.8796,6.5461,-216.3002506718425,-0.0046390554,-0.0006,2.7348
NIFTY,2011-05-24,2011-06-30,PE,5300,92.35,104.9,83.0,92.0,89.25,92.0,52405,141295.35,-,3334200,241000,5385.1,5422.6,5367.45,5394.85,100052471.0,4819.47,0.0015396890273424,0.1699646897124437,0.1524745297736117,-85.10000000000036,-94.85000000000036,37,0.213718540957782,0.0177,0.3691896387207507,0.3011445741665519,-0.3559931891632795,0.0010151651,-1.8487,6.401,-204.00987831347257,-0.0052510424,-0.0008,3.3299
NIFTY,2011-05-25,2011-06-30,PE,5300,94.85,120.8,94.85,108.6,109.0,108.6,84906,229687.73,-,3776100,441900,5389.1,5389.1,5328.7,5348.95,99917758.0,5133.01,-0.0085445148379656,0.1700949275513026,0.1517407854743778,-89.10000000000036,-48.94999999999982,36,0.2149163434318187,0.0092,0.2430206863036037,0.1755252729989069,-0.4039946861980031,0.0010728593,-1.9422,6.5067,-223.8457700602108,-0.0031634121,-0.0002,1.2914
NIFTY,2011-05-26,2011-06-30,PE,5400,141.0,153.85,116.0,120.8,120.85,120.8,88313,244101.57,-,4072400,861250,5372.75,5422.2,5356.35,5412.35,161608076.0,7601.74,0.0117830993548847,0.1738163715468607,0.1508323802645184,27.25,-12.350000000000364,35,0.2087458727879778,0.0023,0.1418326660465287,0.0771920498821465,-0.4436060905585479,0.001128887,-1.9739,6.6193,-241.8117827364965,-0.001460483,0.0004,0.3472
NIFTY,2011-06-20,2011-07-28,PE,5200,70.05,188.9,68.45,111.6,108.0,111.6,34933,92763.91,-,1740850,55800,5372.2,5377.4,5195.9,5257.9,135334880.0,5956.17,-0.0204255851581852,0.1367678331234874,0.1036545112292465,-172.19999999999982,-57.89999999999964,38,0.2238538064043785,0.0111,0.2614895781245849,0.1892608695987965,-0.3968574927367181,0.001015173,-1.9265,6.5406,-228.85755384792088,-0.003259557,-0.0002,1.446
NIFTY,2011-06-21,2011-07-28,PE,5200,103.85,111.3,80.05,98.8,99.0,98.8,40024,105908.76,-,1992350,251500,5280.8,5322.45,5257.0,5275.85,107191673.0,4765.02,0.0034080963330783,0.1338641174039014,0.125317078012361,-80.80000000000018,-75.85000000000036,37,0.2172591564513084,0.0145,0.3172088101803696,0.2480364620094152,-0.3755425826572502,0.0010395262,-1.8709,6.3725,-210.86009471634293,-0.0043310963,-0.0005,2.3078
NIFTY,2011-06-22,2011-07-28,PE,5200,85.05,101.65,84.2,95.65,95.85,95.65,30395,80455.54,-,2267800,275450,5304.65,5310.5,5262.5,5278.3,95769497.0,4151.39,0.0004642723561836,0.1270637267044374,0.1257961571081583,-104.64999999999964,-78.30000000000018,36,0.2162453632653629,0.0149,0.3266399297158166,0.2587271319464355,-0.3719701195459433,0.0010551061,-1.883,6.2696,-203.08141369041635,-0.0045251919,-0.0006,2.4502
NIFTY,2011-06-23,2011-07-28,PE,5300,140.1,143.6,101.0,109.45,107.15,109.45,40104,108595.59,-,2412950,85950,5269.1,5330.6,5252.25,5320.0,89001344.0,3756.75,0.0078692271757238,0.1232181070615477,0.1245632969487265,30.89999999999964,-20.0,35,0.2000229891818344,0.0038,0.1691853681764588,0.1072458955772191,-0.4328254191942392,0.0011934806,-1.8513,6.4788,-231.29546801043145,-0.0021086052,0.0003,0.5877
NIFTY,2011-07-18,2011-08-25,PE,5500,99.4,103.5,87.05,98.2,99.45,98.2,11890,33268.73,-,1437800,139350,5581.75,5596.6,5550.95,5567.05,73604991.0,3305.34,-0.0025205989224748,0.1642532996742614,0.1330692125977684,-81.75,-67.05000000000018,38,0.1983218592677152,0.0121,0.302702028723917,0.2387114627495158,-0.3810584757936222,0.0010697249,-1.7862,6.8452,-231.0786863647408,-0.0045868641,-0.0004,2.494
NIFTY,2011-07-19,2011-08-25,PE,5600,138.7,141.75,100.9,107.35,110.1,107.35,26309,75230.24,-,983050,222850,5569.85,5627.65,5557.2,5613.55,86555649.0,3983.28,0.0083180273168357,0.1669191841372823,0.13156864105038,30.14999999999964,-13.550000000000182,37,0.1790691275456657,0.0024,0.1597957931863655,0.1027826286340403,-0.4365209690250879,0.0012307009,-1.7035,7.0398,-259.282048162004,-0.0022608111,0.0004,0.6457
NIFTY,2011-07-20,2011-08-25,PE,5500,65.15,94.4,63.5,89.3,89.4,89.3,25775,71915.54,-,1625300,133500,5642.05,5645.4,5555.1,5567.05,87093214.0,3825.45,-0.0083180273168358,0.167197500017022,0.1328997833975824,-142.05000000000018,-67.05000000000018,36,0.1894641342799936,0.0121,0.3162740743765864,0.2567720381635904,-0.3758972437942605,0.0011455974,-1.7459,6.6347,-215.20491874943227,-0.0051429192,-0.0005,2.8438
NIFTY,2011-07-21,2011-08-25,PE,5500,94.85,99.8,80.6,93.6,93.4,93.6,37729,105457.3,-,1786450,161150,5554.6,5578.9,5532.7,5541.6,76327640.0,3681.07,-0.0045820229328928,0.1347749690348745,0.1336056731906007,-54.60000000000037,-41.60000000000037,35,0.1831845846282523,0.0075,0.2457207447108482,0.1889954822467914,-0.4029492062472851,0.0012313664,-1.7383,6.6424,-223.09703336385465,-0.0039935718,-0.0001,1.6839
NIFTY,2011-08-23,2011-09-29,PE,4900,132.3,165.7,109.7,119.85,122.0,119.85,47424,119304.44,-,3000400,349850,4925.15,4965.8,4863.8,4948.9,130010440.0,5519.36,0.0101750524983646,0.2019914514332534,0.2002973497146907,-25.14999999999964,-48.89999999999964,37,0.2467156210761739,0.0099,0.2302168662465215,0.1516659820442297,-0.4089616282240365,0.0009994051,-2.0409,6.1216,-217.31268150756165,-0.0023883218,-0.0001,0.8663
