symbol,date,expiry,option_type,strike,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,no_of_contracts,turnover_in_lacs_option,premium_turnover_in_lacs,open_interest,change_in_oi,open_ul,high_ul,low_ul,close_ul,shares_traded_ul,turnover_in_cr_ul,log_returns_ul,vol_close_to_close,vol_parkinson,k_minus_s_open,k_minus_s_close,days_to_expiry,implied_volatility,moneyness_close,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2010-11-23,2010-12-30,PE,5100,5.5,14.0,5.1,7.85,8.75,7.85,1409,3598.92,-,443700,2150,5971.55,5973.35,5824.95,5934.75,158866285.0,7781.91,-0.0125998443718408,0.1956006563721397,0.1555714551521132,-871.5500000000002,-834.75,37,0.2805611716211162,0.1516,1.7983675545004731,1.7090407092543618,-0.0360593904250719,0.0001493634,-0.5673,1.4962,-22.489246343222664,-0.0048234013,-0.0017,16.3904
NIFTY,2010-11-23,2010-12-30,PE,5200,7.0,18.0,6.0,11.05,12.0,11.05,4705,12262.86,-,790400,73350,5971.55,5973.35,5824.95,5934.75,158866285.0,7781.91,-0.0125998443718408,0.1956006563721397,0.1555714551521132,-771.5500000000002,-734.75,37,0.2694515163338745,0.1322,1.6425600617632174,1.5567703790291063,-0.0502369948666944,0.0002033333,-0.7123,1.9562,-31.342943934498656,-0.0059812226,-0.002,18.5639
NIFTY,2010-11-23,2010-12-30,PE,5300,7.25,25.7,7.25,15.15,15.5,15.15,12082,32113.19,-,2050250,53000,5971.55,5973.35,5824.95,5934.75,158866285.0,7781.91,-0.0125998443718408,0.1956006563721397,0.1555714551521132,-671.5500000000002,-634.75,37,0.2567943389288143,0.1131,1.48641379659102,1.4046539862757526,-0.0685848513733883,0.0002723937,-0.8667,2.4974,-42.79671884532395,-0.007229749,-0.0023,20.3058
NIFTY,2010-11-24,2010-12-30,PE,4500,3.0,3.45,3.0,3.35,3.2,3.35,80,180.12,-,331700,-1300,5946.8,5976.65,5833.6,5865.75,125846538.0,6608.67,-0.0116945530075819,0.1957722747708943,0.1639089178363507,-1446.8000000000002,-1365.75,36,0.3954690482576624,0.2651,2.235908738622196,2.1117099623209694,-0.0126788748908413,4.49663e-05,-0.3315,0.6035,-7.665168970036309,-0.0017492435,-0.0009,7.205
NIFTY,2010-11-24,2010-12-30,PE,4700,3.0,4.3,3.0,4.25,4.3,4.25,251,590.25,-,435100,-4850,5946.8,5976.65,5833.6,5865.75,125846538.0,6608.67,-0.0116945530075819,0.1957722747708943,0.1639089178363507,-1246.8000000000002,-1165.75,36,0.3513340806460877,0.2216,2.1079464124737,1.9976084148948592,-0.0175178124787349,6.68315e-05,-0.3888,0.7968,-10.55391357462046,-0.0024593471,-0.0011,9.5501
NIFTY,2010-11-24,2010-12-30,PE,4800,3.05,4.7,2.5,3.75,4.15,3.75,808,1940.48,-,399100,1400,5946.8,5976.65,5833.6,5865.75,125846538.0,6608.67,-0.0116945530075819,0.1957722747708943,0.1639089178363507,-1146.8000000000002,-1065.75,36,0.3168355171079234,0.2005,2.114460951053584,2.014957377545267,-0.0172379582796645,7.30961e-05,-0.3458,0.7859,-10.342697854026218,-0.0027132429,-0.0011,10.5686
NIFTY,2010-11-24,2010-12-30,PE,4900,4.35,7.9,3.2,6.25,7.9,6.25,1108,2717.08,-,478100,4000,5946.8,5976.65,5833.6,5865.75,125846538.0,6608.67,-0.0116945530075819,0.1957722747708943,0.1639089178363507,-1046.8000000000002,-965.75,36,0.3142113946447547,0.1799,1.9223400425364376,1.8236605861119384,-0.0272814923007283,0.0001086215,-0.5055,1.1582,-16.39985566107788,-0.0036491199,-0.0015,12.9225
NIFTY,2010-11-24,2010-12-30,PE,5000,7.0,11.0,4.5,8.7,9.0,8.7,3010,7534.44,-,1284250,51300,5946.8,5976.65,5833.6,5865.75,125846538.0,6608.67,-0.0116945530075819,0.1957722747708943,0.1639089178363507,-946.8000000000002,-865.75,36,0.3028148449346227,0.1597,1.7786057963610638,1.6835054759885273,-0.0376522065725736,0.0001470526,-0.6356,1.5111,-22.64137012620934,-0.0045605317,-0.0018,14.9425
NIFTY,2010-11-24,2010-12-30,PE,5100,7.9,12.0,5.0,10.25,11.0,10.25,1970,5030.9,-,468350,24650,5946.8,5976.65,5833.6,5865.75,125846538.0,6608.67,-0.0116945530075819,0.1957722747708943,0.1639089178363507,-846.8000000000002,-765.75,36,0.2815923670121394,0.1399,1.681813771508924,1.5933784627211498,-0.0463024787092078,0.000186965,-0.6988,1.7866,-27.79877390387508,-0.0054879189,-0.002,17.0025
NIFTY,2010-11-24,2010-12-30,PE,5300,15.95,25.5,8.6,21.35,23.0,21.35,9738,25882.91,-,2042850,-7400,5946.8,5976.65,5833.6,5865.75,125846538.0,6608.67,-0.0116945530075819,0.1957722747708943,0.1639089178363507,-646.8000000000002,-565.75,36,0.262643477504358,0.1014,1.3306390786422535,1.2481547510994142,-0.0916538987544996,0.0003401998,-1.1061,3.0322,-55.13116631782431,-0.0078222357,-0.0026,19.1743
